Track,Artist,Playcount,Listeners,Duration,Listeners_per_Play,Date,Minutes,Popularity_Score,Underrated_Score
Janice STFU,Drake,1845563,292888,237,6.301258501543252,2026-06-01,3.95,758690.5,158698.45678527368
505,Arctic Monkeys,58889550,3054084,305,19.28222995831156,2026-06-01,5.083333333333333,19804723.8,51861.22155798439
The One That Got Away,Katy Perry,21156851,1915001,227,11.047958199499634,2026-06-01,3.783333333333333,7687556.0,90514.46266743571
Dracula,Tame Impala,12294300,1157684,205,10.619737337649996,2026-06-01,3.4166666666666665,4498668.8,94164.28751535264
Body to Body,BTS,57739639,405632,189,142.3448815675292,2026-06-01,3.15,17605834.099999998,7025.191134291643
Hooligan,BTS,55608311,381898,182,145.61037502160264,2026-06-01,3.033333333333333,16949821.9,6867.64250041689
SS26,Charli xcx,761701,188825,167,4.0338991129352575,2026-06-01,2.783333333333333,360687.8,247899.11001823551
2.0,BTS,55042165,351714,169,156.49694069613378,2026-06-01,2.816666666666667,16758849.3,6389.901269326888
Dreams - 2004 Remaster,Fleetwood Mac,29144127,2025450,257,14.388963933940603,2026-06-01,4.283333333333333,10161053.1,69497.70703373617
End of Beginning,Djo,35478612,2055895,159,17.25701555770115,2026-06-01,2.65,12082710.1,57947.4473240385
House Tour,Sabrina Carpenter,14081187,803489,214,17.525052614285947,2026-06-01,3.566666666666667,4786798.399999999,57061.16963008871
See You Again (feat. Kali Uchis),"Tyler, The Creator",58374100,2586041,180,22.57276663440371,2026-06-01,3.0,19322458.7,44301.171238614384
back to friends,sombr,25729354,1473828,144,17.45750114667383,2026-06-01,2.4,8750485.799999999,57281.96673729158
FYA,BTS,53139296,357314,180,148.71876276888116,2026-06-01,3.0,16191908.6,6724.101124711927
Iris,The Goo Goo Dolls,32128006,2352984,289,13.654154044396392,2026-06-01,4.816666666666666,11285490.599999998,73237.78512740567
they don’t know ’bout us,BTS,50470779,323921,164,155.81200045690153,2026-06-01,2.7333333333333334,15367978.4,6417.990893304817
"Good Luck, Babe!",Chappell Roan,60720491,2102662,218,28.87791333081589,2026-06-01,3.6333333333333337,19688010.7,34628.540800172384
Lovers Rock,TV Girl,51054992,2205359,213,23.15042222150679,2026-06-01,3.55,16860248.9,43195.756450221365
Sweet Boy,Malcolm Todd,10736425,761422,180,14.100492236893604,2026-06-01,3.0,3753922.9,70919.50998586587
NATIONAL TREASURES,Drake,1343555,273333,208,4.9154511164038,2026-06-01,3.466666666666667,594399.6,203440.1271254247
"Lover, You Should've Come Over",Jeff Buckley,32641575,1667453,403,19.575709180408683,2026-06-01,6.716666666666667,10959689.6,51083.71762085622
NOBLE,F3miii,2038597,282064,185,7.227427108741279,2026-06-01,3.0833333333333335,809023.8999999999,138361.82433310754
Let Down,Radiohead,41474578,2545220,337,16.295085690038583,2026-06-01,5.616666666666666,14224027.4,61368.19523516309
Into You,Ariana Grande,27716936,1731466,244,16.007785310251545,2026-06-01,4.066666666666666,9527107.0,62469.60342225417
Sweater Weather,The Neighbourhood,50826646,2999697,240,16.943926669926995,2026-06-01,4.0,17347781.7,59018.19687256168
Pink + White,Frank Ocean,60012689,2464871,290,24.3471926117026,2026-06-01,4.833333333333333,19729216.4,41072.497184720385
Like Animals,BTS,51722057,322300,189,160.47799255352157,2026-06-01,3.15,15742227.1,6231.384030221381
Aliens,BTS,52948395,338863,167,156.25310228617465,2026-06-01,2.783333333333333,16121722.6,6399.872932881157
NORMAL,BTS,53968486,324789,181,166.1647592744828,2026-06-01,3.0166666666666666,16417898.1,6018.123243257185
tHe CuRe,Olivia Rodrigo,3756385,392335,297,9.5744325640078,2026-06-02,4.95,1401550.0,104444.83193282904
Stateside + Zara Larsson,PinkPantheress,22151500,1300977,176,17.026819075202713,2026-06-02,2.933333333333333,7556133.9,58730.87601291109
Earrings,Malcolm Todd,11080739,834948,0,13.27117257601671,2026-06-02,0.0,3908685.3,75351.29200317776
hate that i made you love me,Ariana Grande,2539400,246225,198,10.313331302670322,2026-06-02,3.3,934177.5,96961.88075923448
drop dead,Olivia Rodrigo,9487586,647920,224,14.643144215335226,2026-06-02,3.7333333333333334,3299819.8,68291.3440784621
Billie Jean,Michael Jackson,27562714,3312672,294,8.320387288569469,2026-06-02,4.9,10587684.6,120186.71310815038
Babydoll,Dominic Fike,26634571,1755956,98,15.168131206021108,2026-06-02,1.6333333333333333,9219540.5,65927.69975532926
Chicago,Michael Jackson,13192309,1186354,245,11.12004427009139,2026-06-02,4.083333333333333,4788140.5,89927.6995406945
Beauty and a Beat,Justin Bieber,17863655,1792227,144,9.96729487949908,2026-06-02,2.4,6613655.4,100328.12433961582
Beat It,Michael Jackson,20169215,2708162,258,7.447565913708264,2026-06-02,4.3,7946477.9,134272.05768791694
Fame Is a Gun,Addison Rae,21655926,1091634,227,19.83808309378418,2026-06-02,3.783333333333333,7260921.6,50408.096148832425
Girl Like Me,PinkPantheress,9781468,712201,156,13.73413966001171,2026-06-02,2.6,3432981.0999999996,72811.2590052945
Human Nature,Michael Jackson,9028853,1315808,246,6.861831665410151,2026-06-02,4.1,3629721.5,145733.68289416164
SWIM,BTS,208219734,461508,159,451.17253438726954,2026-06-02,2.65,62788975.8,2216.446977115051
Midnight Sun,Zara Larsson,13473154,806028,189,16.715491273256017,2026-06-02,3.15,4606165.8,59824.74482218492
Don't Stop 'Til You Get Enough,Michael Jackson,8913726,1502370,238,5.933109686695022,2026-06-02,3.966666666666667,3725776.8,168545.67887772183
Dracula - JENNIE remix,Tame Impala,5896038,715914,209,8.23567914581919,2026-06-02,3.4833333333333334,2269951.1999999997,121422.8944928781
Manchild,Sabrina Carpenter,26541686,1299900,213,20.418252173244095,2026-06-02,3.55,8872435.8,48975.788501152485
Mr. Brightside,The Killers,51993318,3717130,223,13.987489810687276,2026-06-02,3.716666666666667,18199986.4,71492.4560113667
The Less I Know the Better,Tame Impala,49493501,2813032,216,17.594361173282067,2026-06-02,3.6,16817172.7,56836.39150926098
Creep,Radiohead,61368974,4119890,235,14.895779741692133,2026-06-02,3.9166666666666665,21294615.2,67133.10866171561
The One That Got Away,Katy Perry,21193886,1917702,227,11.05170980684173,2026-06-02,3.783333333333333,7700557.199999999,90483.73667764373
Dracula,Tame Impala,12325303,1159939,205,10.625819978464383,2026-06-02,3.4166666666666665,4509548.2,94110.38414228032
505,Arctic Monkeys,58916910,3055122,305,19.284634132450357,2026-06-02,5.083333333333333,19813658.4,51854.75613028585
Body to Body,BTS,58293815,406256,189,143.4903484502383,2026-06-02,3.15,17772523.7,6969.109844672201
