Artist,Playcount,Listeners,URL,Date
SZA,596142051,3542942,https://www.last.fm/music/SZA,2026-06-06
Travis Scott,692844175,3377913,https://www.last.fm/music/Travis+Scott,2026-06-06
Deftones,589272453,4287843,https://www.last.fm/music/Deftones,2026-06-06
Don Toliver,289099311,2594207,https://www.last.fm/music/Don+Toliver,2026-06-06
The Neighbourhood,411733628,4024245,https://www.last.fm/music/The+Neighbourhood,2026-06-06
Coldplay,786700526,9168262,https://www.last.fm/music/Coldplay,2026-06-06
Bad Bunny,419285357,2633364,https://www.last.fm/music/Bad+Bunny,2026-06-06
Clairo,360033563,2971757,https://www.last.fm/music/Clairo,2026-06-06
Chappell Roan,343227410,2608194,https://www.last.fm/music/Chappell+Roan,2026-06-06
Mac Miller,441992355,3591247,https://www.last.fm/music/Mac+Miller,2026-06-06
Beyoncé,708736797,6438339,https://www.last.fm/music/Beyonc%C3%A9,2026-06-06
The Marías,251209266,2556000,https://www.last.fm/music/The+Mar%C3%ADas,2026-06-06
Mitski,677905211,3317581,https://www.last.fm/music/Mitski,2026-06-06
Future,470967136,3265432,https://www.last.fm/music/Future,2026-06-06
TV Girl,302899966,2908389,https://www.last.fm/music/TV+Girl,2026-06-06
Dominic Fike,160364701,2646679,https://www.last.fm/music/Dominic+Fike,2026-06-06
Playboi Carti,797686422,2514726,https://www.last.fm/music/Playboi+Carti,2026-06-06
Ariana Grande,1144320166,4547441,https://www.last.fm/music/Ariana+Grande,2026-06-07
Michael Jackson,390097287,7020126,https://www.last.fm/music/Michael+Jackson,2026-06-07
Drake,1219323601,6797347,https://www.last.fm/music/Drake,2026-06-07
The Weeknd,1142686569,5380108,https://www.last.fm/music/The+Weeknd,2026-06-07
Kanye West,1567391597,8007686,https://www.last.fm/music/Kanye+West,2026-06-07
Taylor Swift,3722336271,5995713,https://www.last.fm/music/Taylor+Swift,2026-06-07
PinkPantheress,347093503,3159269,https://www.last.fm/music/PinkPantheress,2026-06-07
Rihanna,613211995,8366362,https://www.last.fm/music/Rihanna,2026-06-07
Radiohead,1393734137,8302733,https://www.last.fm/music/Radiohead,2026-06-07
Kendrick Lamar,1045840343,5152075,https://www.last.fm/music/Kendrick+Lamar,2026-06-07
